Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
0.1135,0.63874817,0.94184923
0.1605,0.26355624,0.35971403
0.6055,0.3601657,0.05249221
0.7695,0.85117495,0.5396179
-0.505,0.36989582,0.9138089
0.018,0.5064534,0.7202617
0.322,0.7177634,0.9534893
0.7765,0.6533282,0.075966686
0.103,0.035037883,0.21717067
-0.36,0.028418783,0.46150675
0.7235,0.671186,0.2253719
0.963,0.9281571,0.047829233
0.799,0.90444463,0.7229494
0.042,0.58977836,0.90784943
0.8185,0.81029665,0.1910553
0.231,0.49740833,0.51921165
-0.5335,0.16238502,0.6883349
0.152,0.52482843,0.623081
-0.032,0.39074016,0.6167472
0.205,0.3054295,0.30957106
-0.6755,0.21774237,0.8007284
0.8375,0.90146613,0.53011733
0.1725,0.33550605,0.42511657
0.684,0.49783516,0.06052917
0.899,0.90854543,0.23354663
0.791,0.8633759,0.40352187
-0.0495,0.4379557,0.66511506
-0.711,0.26178867,0.89007926
0.9375,0.9097651,0.11974035
0.6705,0.39329368,0.017463785
-0.81,0.034690235,0.698166
0.6655,0.82459176,0.69822806
0.367,0.6148783,0.562542
0.5835,0.73795855,0.485998
-0.1015,0.30944633,0.5485843
0.2825,0.58238137,0.60901064
0.3995,0.11991777,0.08761496
0.103,0.15674803,0.28589693
-1.0545,0.10325242,0.88826776
0.8415,0.91433775,0.58468926
0.02,0.4523695,0.6690815
0.394,0.4153471,0.26182976
0.7575,0.68548644,0.17905568
0.789,0.67987406,0.08413661
0.2355,0.052722573,0.16336302
0.7055,0.8495021,0.7609816
0.1495,0.23414388,0.30282035
-0.7925,0.16949326,0.7916686
0.4705,0.5902029,0.3591982
-0.7,0.19101778,0.8122804
-0.8555,0.12782295,0.8488566
0.8015,0.82149667,0.29703146
-0.1715,0.091808945,0.40442583
-0.2645,0.25657898,0.6027297
-0.149,0.02874717,0.30783057
0.5875,0.7144636,0.50802106
0.805,0.78454214,0.19024345
-0.2545,0.3008474,0.65773964
0.585,0.60655206,0.3128612
0.0425,0.23102443,0.37723678
0.8005,0.6577553,0.030170655
-0.954,0.17071694,0.9278797
0.22,0.6278472,0.71521723
-0.331,0.08344739,0.47089997
0.633,0.8324708,0.9142634
0.9025,0.8781511,0.073206514
0.356,0.4489049,0.31009492
0.4465,0.031936534,0.03440261
0.671,0.7182021,0.32285422
-0.294,0.4047926,0.8457657
-0.533,0.11247348,0.5832811
0.523,0.6349909,0.41217145
-0.2315,0.016991122,0.37209055
-0.0645,0.14802584,0.3805875
0.3685,0.67742693,0.7708853
-0.222,0.15954477,0.47926894
0.521,0.63820606,0.43438545
0.6075,0.5496773,0.2022753
-0.0795,0.19590142,0.40621105
0.785,0.58688724,0.005054694
0.5585,0.24380656,0.040419463
0.084,0.14974067,0.30220056
0.2365,0.55752325,0.56436366
0.1015,0.5987957,0.84515244
0.3055,0.6469805,0.73463
0.967,0.96813405,0.36890006
0.226,0.58796847,0.74209386
0.908,0.93051934,0.25364608
0.8925,0.9468963,0.8495452
0.786,0.8861251,0.70804036
0.5725,0.7949315,0.8193362
0.966,0.97203326,0.2695718
-1.1115,0.03154948,0.8181691
0.8365,0.9111475,0.9359943
0.257,0.562907,0.5999637
-0.078,0.07083123,0.31867534
0.3845,0.6366409,0.5687116
0.6025,0.6951507,0.39877802
0.775,0.84594065,0.39493063
-0.3575,0.08670592,0.5020228
0.8035,0.88015586,0.5715169
0.826,0.7977725,0.21264824
0.7745,0.7361939,0.19762775
0.6035,0.77179074,0.52594817
-0.7645,0.19630317,0.8624742
-0.44,0.29997513,0.74285555
0.0515,0.17129247,0.36612883
0.3555,0.4014975,0.28213668
-0.117,0.14586079,0.4181188
0.955,0.9445556,0.06911837
-0.0395,0.3434433,0.53103375
0.3005,0.22304474,0.21065137
0.0085,0.26665214,0.42424586
0.839,0.82339036,0.13877289
0.4755,0.47311035,0.22984953
0.2675,0.7050974,0.95452416
0.23,0.20371221,0.23188439
0.5775,0.54846877,0.21324864
0.8235,0.900904,0.5321582
0.6215,0.56482875,0.18870106
-0.3425,0.26589635,0.6203172
0.3805,0.6491416,0.6147254
0.933,0.9256696,0.19859019
0.4765,0.6611761,0.55641025
0.1155,0.07646889,0.22649795
0.0755,0.1629281,0.28026545
-0.0845,0.55434334,0.9787043
0.184,0.3974958,0.45656103
0.676,0.8352257,0.73434514
-0.3045,0.38257065,0.81900644
0.873,0.88331044,0.35286206
0.736,0.84656435,0.6249587
0.38,0.62483037,0.5768025
-1.2065,0.012173159,0.86603457
-0.022,0.37048286,0.57040095
