Hawk-Dove Simulation on 03-20 22-26-19,
,
1000 iterations took:;114;ms,
Seed used:;10821718,
Average:;-0.19030376,
Min:;-1.29843,
Max:;0.7495,
,
-0.65886503,3.335
-0.53422,3.34
-0.493995,3.345
-0.47774997,3.35
-0.58608,3.355
-0.54102,3.36
-0.40352002,3.365
-0.49165997,3.37
-0.5485,3.375
-0.5324001,3.38
-0.502565,3.385
-0.63356006,3.39
-0.56547,3.395
-0.57760006,3.4
-0.510755,3.405
-0.58790004,3.41
-0.50772,3.415
-0.44502002,3.42
-0.606525,3.425
-0.62464005,3.43
-0.607825,3.435
-0.62018,3.44
-0.540765,3.445
-0.58820003,3.45
-0.58117497,3.455
-0.57030004,3.46
-0.58255994,3.465
-0.6163,3.47
-0.638025,3.475
-0.48288,3.48
-0.55436,3.485
-0.60863,3.49
-0.514685,3.495
-0.6575,3.5
-0.540835,3.505
-0.60485,3.51
-0.56512505,3.515
-0.5474,3.52
-0.62070006,3.525
-0.50374,3.53
-0.52867,3.535
-0.6184,3.54
-0.64468503,3.545
-0.5929,3.55
-0.53191,3.555
-0.58787996,3.56
-0.56911504,3.565
-0.59689,3.57
-0.603775,3.575
-0.52595997,3.58
-0.690915,3.585
-0.63405997,3.59
-0.595435,3.595
-0.6526,3.6
-0.604375,3.605
-0.59391993,3.61
-0.62793,3.615
-0.5957599,3.62
-0.545875,3.625
-0.61425006,3.63
-0.62353,3.635
-0.71736,3.64
-0.53762,3.645
-0.6553,3.65
-0.60216,3.655
-0.73450005,3.66
-0.67219,3.665
-0.5255,3.67
-0.671875,3.675
-0.61428005,3.68
-0.70001996,3.685
-0.67015004,3.69
-0.67926997,3.695
-0.786,3.7
-0.675515,3.705
-0.5335,3.71
-0.52060497,3.715
-0.5852,3.72
-0.7122,3.725
-0.63729,3.73
-0.62047994,3.735
-0.65674,3.74
-0.679845,3.745
-0.785,3.75
-0.70994,3.755
-0.74472,3.76
-0.62999004,3.765
-0.7283,3.77
-0.69327503,3.775
-0.81808,3.78
-0.67923003,3.785
-0.56371,3.79
-0.72366506,3.795
-0.6881,3.8
-0.66646004,3.805
-0.71123,3.81
-0.79031503,3.815
-0.61634,3.82
-0.71965003,3.825
-0.61015,3.83
-0.62977004,3.835
-0.65445995,3.84
-0.819225,3.845
-0.66129994,3.85
-0.606025,3.855
-0.76126,3.86
-0.69751,3.865
-0.70425,3.87
-0.68025,3.875
-0.69574004,3.88
-0.759265,3.885
-0.60839003,3.89
-0.743495,3.895
-0.74890006,3.9
-0.75352,3.905
-0.7353,3.91
-0.72837,3.915
-0.78438,3.92
-0.75135,3.925
-0.76812005,3.93
-0.811825,3.935
-0.74420005,3.94
-0.774215,3.945
-0.73515004,3.95
-0.655935,3.955
-0.74888,3.96
-0.72151494,3.965
-0.81965,3.97
-0.77147496,3.975
-0.7649,3.98
-0.70851,3.985
-0.78167,3.99
-0.74213,3.995
-0.7715,4
-0.8364751,4.005
-0.7447301,4.01
-0.7330499,4.015
-0.72789997,4.02
-0.699575,4.025
-0.8075501,4.03
-0.745985,4.035
-0.8194,4.04
-0.70224506,4.045
-0.9629001,4.05
-0.73412997,4.055
-0.79524,4.06
-0.74248505,4.065
-0.84023005,4.07
-0.85582495,4.075
-0.73428,4.08
-0.70951504,4.085
-0.89541006,4.09
-0.72638994,4.095
-0.83849996,4.1
-0.766455,4.105
-0.76098007,4.11
-0.7371299,4.115
-0.79848,4.12
-0.7955,4.125
-0.84329003,4.13
-0.8449751,4.135
-0.78007996,4.14
-0.802375,4.145
-0.87915003,4.15
-0.8161251,4.155
-0.7429199,4.16
-0.77955496,4.165
-0.76038,4.17
-0.9188251,4.175
-0.8507599,4.18
-0.883335,4.185
-0.95864004,4.19
-0.81593007,4.195
-0.86489993,4.2
-0.84569496,4.205
-0.75018,4.21
-0.8996351,4.215
-0.91445994,4.22
-0.79284996,4.225
-0.86759,4.23
-0.80124503,4.235
-0.8135599,4.24
-0.94802,4.245
-0.88825,4.25
-0.84862506,4.255
-0.77910006,4.26
-0.70166,4.265
-0.97077,4.27
-0.782,4.275
-0.9101401,4.28
-0.90800995,4.285
-0.80785,4.29
-0.86901003,4.295
-0.83220005,4.3
-1.051075,4.305
-0.85282,4.31
-0.90446,4.315
-0.9572601,4.32
-0.9011499,4.325
-0.88673997,4.33
-0.8096,4.335
-0.8478001,4.34
-0.8925649,4.345
-0.91454995,4.35
-1.035695,4.355
-0.8543401,4.36
-0.9769449,4.365
-0.95742995,4.37
-0.8595,4.375
-0.82518005,4.38
-0.8806051,4.385
-0.96659994,4.39
-0.9111,4.395
-1.0077001,4.4
-0.82399005,4.405
-0.93020993,4.41
-0.884465,4.415
-0.88898003,4.42
-1.0477,4.425
-0.90874994,4.43
-0.87908,4.435
-0.79794,4.44
-0.83370006,4.445
-0.8935999,4.45
-0.89839494,4.455
-0.9027,4.46
-1.0043501,4.465
-0.8407899,4.47
-1.0012499,4.475
-0.92948,4.48
-0.9752551,4.485
-0.9577099,4.49
-0.95010495,4.495
-0.902,4.5
-0.97992,4.505
-0.95629007,4.51
-0.91406494,4.515
-1.0017,4.52
-1.0092001,4.525
-0.9029801,4.53
-0.9903349,4.535
-0.89606,4.54
-1.0330501,4.545
-0.99825007,4.55
-0.94751495,4.555
-1.0682,4.56
-1.059675,4.565
-1.0200901,4.57
-0.94782495,4.575
-1.0946599,4.58
-0.919025,4.585
-0.94321007,4.59
-1.0581449,4.595
-1.0293,4.6
-1.06616,4.605
-0.9604201,4.61
-1.043505,4.615
-0.99323994,4.62
-1.008,4.625
-0.94045,4.63
-1.0210701,4.635
-1.0234799,4.64
-0.906555,4.645
-1.0142001,4.65
-1.0829151,4.655
-1.0173199,4.66
-0.93606,4.665
-1.0421101,4.67
-0.9944501,4.675
-0.99213994,4.68
-0.98781997,4.685
-0.94528,4.69
-1.0436001,4.695
-0.9948999,4.7
-0.98934996,4.705
-1.0015401,4.71
-1.0477,4.715
-1.0988,4.72
-1.0475,4.725
-0.93857,4.73
-1.0849451,4.735
-0.9997999,4.74
-1.119285,4.745
-0.9125,4.75
-0.887485,4.755
-1.0287601,4.76
-1.1710299,4.765
-0.99982,4.77
-0.97555006,4.775
-1.0387801,4.78
-1.02252,4.785
-1.05296,4.79
-1.03024,4.795
-1.1378001,4.8
-0.95277494,4.805
-1.17057,4.81
-0.85947,4.815
-1.14294,4.82
-0.8704999,4.825
-1.05809,4.83
-0.85672504,4.835
-1.1906601,4.84
-1.04115,4.845
-1.0735999,4.85
-0.989735,4.855
-1.0402,4.86
-1.01936,4.865
-1.0663799,4.87
-1.002,4.875
-1.0277001,4.88
-1.0320251,4.885
-1.05319,4.89
-1.09052,4.895
-1.2048,4.9
-1.06366,4.905
-1.1987699,4.91
-1.00857,4.915
-1.1344401,4.92
-1.185675,4.925
-1.0118699,4.93
-1.0256649,4.935
-1.1420801,4.94
-1.05048,4.945
-1.1086999,4.95
-1.06194,4.955
-1.10892,4.96
-1.10441,4.965
-1.1017799,4.97
-1.0803,4.975
-1.0632,4.98
-1.13483,4.985
-1.29843,4.99
-1.1980499,4.995
