Hawk-Dove Simulation on 03-22 21-40-54
Iterations:;10000
Seed used:;8379968
iteration;agentOneScore;agentTwoScore
906;1;-0.70000005
907;1;-0.70000005
908;1;-0.70000005
909;1;-0.70000005
910;0.5;0.5
911;1;-0.70000005
912;0.5;0.5
913;1;-0.70000005
914;0.5;0.5
915;1;-0.70000005
916;0.5;0.5
917;0.5;0.5
918;0.5;0.5
919;0.5;0.5
920;0.5;0.5
921;1;-0.70000005
922;1;-0.70000005
923;0.5;0.5
924;1;-0.70000005
925;1;-0.70000005
926;1;-0.70000005
927;0.5;0.5
928;1;-0.70000005
929;1;-0.70000005
930;1;-0.70000005
931;0.5;0.5
932;0.5;0.5
933;1;-0.70000005
934;1;-0.70000005
935;1;-0.70000005
936;0.5;0.5
937;0.5;0.5
938;0.5;0.5
939;1;-0.70000005
940;1;-0.70000005
941;0.5;0.5
942;1;-0.70000005
943;1;-0.70000005
944;1;-0.70000005
945;0.5;0.5
946;0.5;0.5
947;1;-0.70000005
948;1;-0.70000005
949;1;-0.70000005
950;1;-0.70000005
951;0.5;0.5
952;1;-0.70000005
953;1;-0.70000005
954;1;-0.70000005
955;0.5;0.5
956;0.5;0.5
957;1;-0.70000005
958;1;-0.70000005
959;0.5;0.5
960;1;-0.70000005
961;0.5;0.5
962;1;-0.70000005
963;1;-0.70000005
964;1;-0.70000005
965;0.5;0.5
966;0.5;0.5
967;0.5;0.5
968;1;-0.70000005
969;0.5;0.5
970;0.5;0.5
971;1;-0.70000005
972;0.5;0.5
973;1;-0.70000005
974;1;-0.70000005
975;0.5;0.5
976;1;-0.70000005
977;0.5;0.5
978;0.5;0.5
979;1;-0.70000005
980;0.5;0.5
981;0.5;0.5
982;1;-0.70000005
983;0.5;0.5
984;1;-0.70000005
985;0.5;0.5
986;1;-0.70000005
987;0.5;0.5
988;1;-0.70000005
989;0.5;0.5
990;1;-0.70000005
991;0.5;0.5
992;0.5;0.5
993;1;-0.70000005
994;1;-0.70000005
995;1;-0.70000005
996;1;-0.70000005
997;0.5;0.5
998;0.5;0.5
999;0.5;0.5
1000;0.5;0.5
1001;1;-0.70000005
1002;0.5;0.5
1003;0.5;0.5
1004;0.5;0.5
1005;1;-0.70000005
1006;1;-0.70000005
1007;0.5;0.5
1008;0.5;0.5
1009;1;-0.70000005
1010;1;-0.70000005
1011;1;-0.70000005
1012;1;-0.70000005
1013;1;-0.70000005
1014;0.5;0.5
1015;1;-0.70000005
1016;1;-0.70000005
1017;1;-0.70000005
1018;1;-0.70000005
1019;1;-0.70000005
1020;1;-0.70000005
1021;1;-0.70000005
1022;0.5;0.5
1023;1;-0.70000005
1024;1;-0.70000005
1025;0.5;0.5
1026;0.5;0.5
1027;0.5;0.5
1028;1;-0.70000005
1029;0.5;0.5
1030;1;-0.70000005
1031;1;-0.70000005
1032;0.5;0.5
1033;0.5;0.5
1034;1;-0.70000005
1035;0.5;0.5
1036;1;-0.70000005
1037;0.5;0.5
1038;1;-0.70000005
1039;1;-0.70000005
1040;1;-0.70000005
1041;0.5;0.5
1042;0.5;0.5
1043;1;-0.70000005
1044;1;-0.70000005
1045;1;-0.70000005
1046;0.5;0.5
1047;1;-0.70000005
1048;1;-0.70000005
1049;0.5;0.5
1050;1;-0.70000005
1051;0.5;0.5
1052;1;-0.70000005
1053;0.5;0.5
1054;1;-0.70000005
1055;0.5;0.5
1056;1;-0.70000005
1057;1;-0.70000005
1058;1;-0.70000005
1059;0.5;0.5
1060;1;-0.70000005
1061;1;-0.70000005
1062;0.5;0.5
1063;1;-0.70000005
1064;1;-0.70000005
1065;1;-0.70000005
1066;0.5;0.5
1067;0.5;0.5
1068;0.5;0.5
1069;1;-0.70000005
1070;0.5;0.5
1071;0.5;0.5
1072;0.5;0.5
1073;1;-0.70000005
1074;0.5;0.5
1075;0.5;0.5
1076;0.5;0.5
1077;0.5;0.5
1078;1;-0.70000005
1079;0.5;0.5
1080;1;-0.70000005
1081;0.5;0.5
1082;0.5;0.5
1083;1;-0.70000005
1084;1;-0.70000005
1085;1;-0.70000005
1086;1;-0.70000005
1087;1;-0.70000005
1088;0.5;0.5
1089;1;-0.70000005
1090;1;-0.70000005
1091;0.5;0.5
1092;1;-0.70000005
1093;1;-0.70000005
1094;0.5;0.5
1095;1;-0.70000005
1096;0.5;0.5
1097;0.5;0.5
1098;0.5;0.5
1099;1;-0.70000005
1100;1;-0.70000005
1101;0.5;0.5
1102;0.5;0.5
1103;0.5;0.5
1104;0.5;0.5
1105;1;-0.70000005
1106;1;-0.70000005
1107;0.5;0.5
1108;0.5;0.5
1109;1;-0.70000005
1110;0.5;0.5
1111;1;-0.70000005
1112;0.5;0.5
1113;0.5;0.5
1114;0.5;0.5
1115;1;-0.70000005
1116;0.5;0.5
1117;0.5;0.5
1118;1;-0.70000005
1119;0.5;0.5
1120;1;-0.70000005
1121;0.5;0.5
1122;0.5;0.5
1123;1;-0.70000005
1124;1;-0.70000005
1125;0.5;0.5
1126;0.5;0.5
1127;1;-0.70000005
1128;1;-0.70000005
1129;1;-0.70000005
1130;1;-0.70000005
1131;1;-0.70000005
1132;1;-0.70000005
1133;1;-0.70000005
1134;0.5;0.5
1135;0.5;0.5
1136;0.5;0.5
1137;1;-0.70000005
1138;0.5;0.5
1139;1;-0.70000005
1140;1;-0.70000005
1141;1;-0.70000005
1142;0.5;0.5
1143;1;-0.70000005
1144;0.5;0.5
1145;0.5;0.5
1146;0.5;0.5
1147;0.5;0.5
1148;1;-0.70000005
1149;0.5;0.5
1150;0.5;0.5
1151;0.5;0.5
1152;0.5;0.5
1153;1;-0.70000005
1154;1;-0.70000005
1155;1;-0.70000005
1156;1;-0.70000005
1157;1;-0.70000005
1158;0.5;0.5
1159;1;-0.70000005
1160;0.5;0.5
1161;0.5;0.5
1162;1;-0.70000005
1163;0.5;0.5
1164;0.5;0.5
